region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
672,0,int32,79362115.32715864,250.0,
672,0,int64,0.0,0,
672,0,float32,12697938.452345382,40.0,
672,0,float64,88885569.16641767,280.0,
498,0,int32,15872423.065431729,50.0,
498,0,int64,0.0,0,
498,0,float32,0.0,0,
498,0,float64,0.0,0,
509,0,int32,3174484.6130863456,10.0,
509,0,int64,0.0,0,
509,0,float32,0.0,0,
509,0,float64,0.0,0,
678,0,int32,0.0,0,
678,0,int64,0.0,0,
678,0,float32,0.0,0,
678,0,float64,0.0,0,
